epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.4913,0.98465,2.13293,1.28785,0.22984,0.43056,0.22179,0.1049,1.41637,2.95831,1.81257,0.00066,0.00066,0.00066
2,162.308,1.16298,1.90802,1.4198,0.52528,0.5463,0.50927,0.3081,1.32889,2.15915,1.47146,0.00119533,0.00119533,0.00119533
3,242.637,1.15683,1.74333,1.4175,0.35465,0.38426,0.24845,0.11509,1.56412,2.28006,1.71934,0.00159865,0.00159865,0.00159865
4,323.031,1.12478,1.5021,1.37686,0.66215,0.55556,0.62497,0.42028,1.11808,1.71907,1.36496,0.001406,0.001406,0.001406
5,403.347,1.07147,1.38191,1.32567,0.77821,0.67593,0.76537,0.50965,1.09095,1.32613,1.32406,0.001208,0.001208,0.001208
6,483.67,0.99056,1.25589,1.26904,0.85155,0.78241,0.84886,0.6164,0.90275,1.05938,1.19439,0.00101,0.00101,0.00101
7,563.853,0.94571,1.16374,1.24185,0.76586,0.72222,0.80601,0.59208,0.90047,1.07733,1.2122,0.000812,0.000812,0.000812
8,643.89,0.88397,1.12357,1.21938,0.85635,0.80035,0.90244,0.67457,0.84965,0.90756,1.13931,0.000614,0.000614,0.000614
9,723.711,0.83728,0.99231,1.17479,0.89528,0.83121,0.90385,0.67896,0.81436,0.82897,1.129,0.000416,0.000416,0.000416
10,803.509,0.79164,0.92767,1.1443,0.8639,0.88889,0.92533,0.72197,0.77021,0.76014,1.10889,0.000218,0.000218,0.000218
